"Relative Time (Process)","train50-dali - system/gpu.0.gpu","train50-dali - system/gpu.0.gpu__MIN","train50-dali - system/gpu.0.gpu__MAX"
"4440.725603855","90","90","90"
"4455.726920935","89","89","89"
"4470.726246269","99","99","99"
"4485.725728029","60","60","60"
"4500.724942488","96","96","96"
"4515.726266771","74","74","74"
"4530.726536315","77","77","77"
"4545.725659698","92","92","92"
"4560.725654173","92","92","92"
"4575.725741477","86","86","86"
"4590.726268614","92","92","92"
"4605.72569116","71","71","71"
"4620.725599312","80","80","80"
"4635.726048468","77","77","77"
"4650.726718656","86","86","86"
"4665.725217881","89","89","89"
"4680.725684174","88","88","88"
"4695.724996563","77","77","77"
"4710.727522367","95","95","95"
"4725.725144504","89","89","89"
"4740.725263472","95","95","95"
"4755.726597724","85","85","85"
"4770.726490437","63","63","63"
"4785.725451882","96","96","96"
"4800.724771055","68","68","68"
"4815.726403712","91","91","91"
"4830.728931719","70","70","70"
"4845.724957964","50","50","50"
"4860.725655545","0","0","0"
"4875.725648158","92","92","92"
"4890.726450895","86","86","86"
"4905.725113323","86","86","86"
"4920.725621439","78","78","78"
"4935.725287317","91","91","91"
"4950.726098881","85","85","85"
"4965.725349656","74","74","74"
"4980.725206301","70","70","70"
"4995.725325092","92","92","92"
"5010.727077019","72","72","72"
"5025.725566305","91","91","91"
"5040.72556855","75","75","75"
"5055.725220646","81","81","81"
"5070.726369262","80","80","80"
"5085.726109351","83","83","83"
"5100.725744653","85","85","85"
"5115.725267196","89","89","89"
"5130.72589485","76","76","76"
"5145.726541424","93","93","93"
"5160.725788054","93","93","93"
"5175.725855436","82","82","82"
"5190.726411697","76","76","76"
"5205.727015327","91","91","91"
"5220.725871101","83","83","83"
"5235.724880955","72","72","72"
"5250.725201143","74","74","74"
"5265.727951757","75","75","75"
"5280.725968638","81","81","81"
"5295.72538945","95","95","95"
"5310.725654545","94","94","94"
"5325.728939659","79","79","79"
"5340.72548106","92","92","92"
"5355.725106038","78","78","78"
"5370.724917856","86","86","86"
"5385.726492372","87","87","87"
"5400.725413726","89","89","89"
"5415.725720708","74","74","74"
"5430.725275147","83","83","83"
"5445.729391049","94","94","94"
"5460.726235825","82","82","82"
"5475.725455258","68","68","68"
"5490.725702054","85","85","85"
"5505.726061039","70","70","70"
"5520.725991831","93","93","93"
"5535.725173345","85","85","85"
"5550.72523379","93","93","93"
"5565.725224421","63","63","63"
"5580.726858552","93","93","93"
"5595.725773763","93","93","93"
"5610.725438298","95","95","95"
"5625.726566811","65","65","65"
"5640.727697747","66","66","66"
"5655.724955134","90","90","90"
"5670.725510505","98","98","98"
"5685.725200731","77","77","77"
"5700.726339906","99","99","99"
"5715.725233901","99","99","99"
"5730.725180138","67","67","67"
"5745.725943221","81","81","81"
"5760.726658436","79","79","79"
"5775.725650612","76","76","76"
"5790.72562283","74","74","74"
"5805.725072589","87","87","87"
"5820.726499143","74","74","74"
"5835.725804326","77","77","77"
"5850.725011959","63","63","63"
"5865.725278665","60","60","60"
"5880.726494954","78","78","78"
"5895.725156425","96","96","96"
"5910.7247004","94","94","94"
"5925.72561316","67","67","67"
"5940.725858907","84","84","84"
"5955.727352275","49","49","49"
"5970.725937025","72","72","72"
"5985.725725639","91","91","91"
"6000.726045341","92","92","92"
"6015.725570649","73","73","73"
"6030.725788795","93","93","93"
"6045.724791303","87","87","87"
"6060.725927734","68","68","68"
"6075.729464273","94","94","94"
"6090.725160518","85","85","85"
"6105.725066896","74","74","74"
"6120.725773274","61","61","61"
"6135.726256714","69","69","69"
"6150.72516086","94","94","94"
"6165.725167322","68","68","68"
"6180.72487922","91","91","91"
"6195.72659496","77","77","77"
"6210.726151702","82","82","82"
"6225.725168829","92","92","92"
"6240.725537765","60","60","60"
"6255.725261429","87","87","87"
"6270.726038474","95","95","95"
"6285.725741605","73","73","73"
"6300.725190704","79","79","79"
"6315.725176581","96","96","96"
"6330.726077591","75","75","75"
"6345.726898165","62","62","62"
"6360.72573079","93","93","93"
"6375.725100521","72","72","72"
"6390.726055784","88","88","88"
"6405.72633442","92","92","92"
"6420.725667742","68","68","68"
"6435.725116343","73","73","73"
"6450.725640332","92","92","92"
"6465.728005225","64","64","64"
"6480.726390853","84","84","84"
"6495.725309788","93","93","93"
"6510.725844423","96","96","96"
"6525.725635671","68","68","68"
"6540.728437903","84","84","84"
"6555.724893561","88","88","88"
"6570.725213487","55","55","55"
"6585.725117085","91","91","91"
"6600.726464472","93","93","93"
"6615.724869558","96","96","96"
"6630.725700529","73","73","73"
"6645.724972281","78","78","78"
"6660.726205571","82","82","82"
"6675.727742977","88","88","88"
"6690.725488184","73","73","73"
"6705.725635959","80","80","80"
"6720.725523852","63","63","63"
"6735.727853469","99","99","99"
"6750.725188902","89","89","89"
"6765.725289391","68","68","68"
"6780.725025701","96","96","96"
"6795.726475886","84","84","84"
"6810.725563897","70","70","70"
"6825.725355777","88","88","88"
"6840.725442363","88","88","88"
"6855.726082501","55","55","55"
"6870.72707286","79","79","79"
"6885.724955886","75","75","75"
"6900.725038168","88","88","88"
"6915.725068887","82","82","82"
"6930.726435869","88","88","88"
"6945.72502142","65","65","65"
"6960.725248982","72","72","72"
"6975.725835003","85","85","85"
"6990.726177691","78","78","78"
"7005.725713306","79","79","79"
"7020.725540803","89","89","89"
"7035.725317552","78","78","78"
"7050.726133848","91","91","91"
"7065.72692219","73","73","73"
"7080.725812878","79","79","79"
"7095.725052287","71","71","71"
"7110.72610373","66","66","66"
"7125.727705775","66","66","66"
"7140.725112841","90","90","90"
"7155.724783121","94","94","94"
"7170.725733228","85","85","85"
"7185.726324252","81","81","81"
"7200.725789386","73","73","73"
"7215.725334738","74","74","74"
"7230.725643912","91","91","91"
"7245.726690112","98","98","98"
"7260.725378013","85","85","85"
"7275.725417903","88","88","88"
"7290.724774905","75","75","75"
"7305.72649866","47","47","47"
"7320.727247939","77","77","77"
"7335.725070951","77","77","77"
"7350.725309222","84","84","84"
"7365.725756383","87","87","87"
"7380.727490312","81","81","81"
"7395.724833193","86","86","86"
"7410.725557812","90","90","90"
"7425.725273007","92","92","92"
"7440.726056015","79","79","79"
"7455.725273094","93","93","93"
"7470.725082667","97","97","97"
"7485.725699075","72","72","72"
"7500.726175639","94","94","94"
"7515.725112328","88","88","88"
"7530.724949676","92","92","92"
"7545.72552126","91","91","91"
"7560.726139723","74","74","74"
"7575.727340307","79","79","79"
"7590.725139731","72","72","72"
"7605.725349406","76","76","76"
"7620.725729078","67","67","67"
"7635.72890762","88","88","88"
"7650.725288164","94","94","94"
"7665.725680059","83","83","83"
"7680.725076685","98","98","98"
"7695.725816786","69","69","69"
"7710.725541965","78","78","78"
"7725.725471256","84","84","84"
"7740.725347822","85","85","85"
"7755.726575453","94","94","94"
"7770.725401798","69","69","69"
"7785.72563061","84","84","84"
"7800.725707334","67","67","67"
"7815.72677608","76","76","76"
"7830.727144075","90","90","90"
"7845.725854764","73","73","73"
"7860.724957599","66","66","66"
"7875.72672574","93","93","93"
"7890.728294147","84","84","84"
"7905.725715765","87","87","87"
"7920.725817591","94","94","94"
"7935.725727553","91","91","91"
"7950.726261837","79","79","79"
"7965.724914996","88","88","88"
"7980.724946329","67","67","67"
"7995.725888289","94","94","94"
"8010.725843893","81","81","81"
"8025.726331666","70","70","70"
"8040.725032257","95","95","95"
"8055.724996583","76","76","76"
"8070.726359554","63","63","63"
"8085.726511303","97","97","97"
"8100.72494519","95","95","95"
"8115.724814212","94","94","94"
"8130.724789382","76","76","76"
"8145.726124944","89","89","89"
"8160.724495854","87","87","87"
"8175.725598005","77","77","77"
"8190.725420497","82","82","82"
"8205.726780939","92","92","92"
"8220.725534833","76","76","76"
"8235.725616332","88","88","88"
"8250.725680762","74","74","74"
"8265.72632192","66","66","66"
"8280.725155828","99","99","99"
"8295.724697137","90","90","90"
"8310.726109896","77","77","77"
"8325.728028579","74","74","74"
"8340.724865958","96","96","96"
"8355.726103602","92","92","92"
"8370.725851425","80","80","80"
"8385.727277948","62","62","62"
"8400.725374041","78","78","78"
"8415.724969858","99","99","99"
"8430.726800699","70","70","70"
"8445.726800015","93","93","93"
"8460.725502532","80","80","80"
"8475.725022998","90","90","90"
"8490.726583642","66","66","66"
"8505.726493946","95","95","95"
"8520.724927739","86","86","86"
"8535.725878404","89","89","89"
"8550.726412139","81","81","81"
"8565.726489551","89","89","89"
"8580.72524485","98","98","98"
"8595.725706872","95","95","95"
"8610.726184939","91","91","91"
"8625.726624156","74","74","74"
"8640.725444117","96","96","96"
"8655.725291382","88","88","88"
"8670.726375396","69","69","69"
"8685.725554376","83","83","83"
"8700.725314432","80","80","80"
"8715.725644777","70","70","70"
"8730.726603247","90","90","90"
"8745.725877747","92","92","92"
"8760.725468093","85","85","85"
"8775.725601136","87","87","87"
"8790.726118044","87","87","87"
"8805.726113658","93","93","93"
"8820.725568719","61","61","61"
"8835.725671216","96","96","96"
"8850.726917795","89","89","89"
"8865.726619246","79","79","79"
"8880.725849852","100","100","100"
"8895.725300547","75","75","75"
"8910.725641194","95","95","95"
"8925.726658733","70","70","70"
"8940.725504265","95","95","95"
"8955.7248811","95","95","95"
"8970.726962305","94","94","94"
"8985.726432915","80","80","80"
"9000.725400969","68","68","68"
"9015.725273296","87","87","87"
"9030.725260513","75","75","75"
"9045.727061363","99","99","99"
"9060.724948955","90","90","90"
"9075.725991721","95","95","95"
"9090.726513704","88","88","88"
"9105.72739115","82","82","82"
"9120.725406035","92","92","92"
"9135.725505679","66","66","66"
"9150.724759271","81","81","81"
"9165.728044586","91","91","91"
"9180.725132968","91","91","91"
"9195.725797425","71","71","71"
"9210.72500219","89","89","89"
"9225.728895122","69","69","69"
"9240.727589622","73","73","73"
"9255.7257452","78","78","78"
"9270.725576581","97","97","97"
"9285.728755029","67","67","67"
"9300.724996588","92","92","92"
"9315.725290218","76","76","76"
"9330.725504836","98","98","98"
"9345.726228378","92","92","92"
"9360.725300745","76","76","76"
"9375.725632463","85","85","85"
"9390.725382101","85","85","85"
"9405.726097956","76","76","76"
"9420.725135951","83","83","83"
"9435.725941549","90","90","90"
"9450.725303949","83","83","83"
"9465.726548349","80","80","80"
"9480.725746998","69","69","69"
"9495.72545357","98","98","98"
"9510.72503164","91","91","91"
"9525.72605672","68","68","68"
"9540.726170053","85","85","85"
"9555.725531636","75","75","75"
"9570.725771699","89","89","89"
"9585.726076889","93","93","93"
"9600.726302288","89","89","89"
"9615.725744168","89","89","89"
"9630.725231692","69","69","69"
"9645.725577692","95","95","95"
"9660.725641394","90","90","90"
"9675.725258626","94","94","94"
"9690.724640572","92","92","92"
"9705.725593118","76","76","76"
"9720.728303262","88","88","88"
"9735.72553341","92","92","92"
"9750.724943787","95","95","95"
"9765.725513542","91","91","91"
"9780.725974472","95","95","95"
"9795.725152138","85","85","85"
"9810.724735151","78","78","78"
"9825.725743158","84","84","84"
"9840.728105915","95","95","95"
"9855.724865647","73","73","73"
"9870.724796039","79","79","79"
"9885.725479658","76","76","76"
"9900.72640505","77","77","77"
"9915.725646256","92","92","92"
"9930.724804926","80","80","80"
"9945.725595527","93","93","93"
"9960.726160645","80","80","80"
"9975.725409207","87","87","87"
"9990.724601586","74","74","74"
"10005.724822338","75","75","75"
"10020.725416246","95","95","95"
"10035.725931231","79","79","79"
"10050.725545241","79","79","79"
"10065.725653652","89","89","89"
"10080.725328357","92","92","92"
"10095.727037225","82","82","82"
"10110.725508845","91","91","91"
"10125.725178674","69","69","69"
"10140.725387089","74","74","74"
"10155.727844683","89","89","89"
"10170.724842669","88","88","88"
"10185.725118064","86","86","86"
"10200.724927668","88","88","88"
"10215.727215049","69","69","69"
"10230.725012236","97","97","97"
"10245.725424926","78","78","78"
"10260.725033816","95","95","95"
"10275.72798755","79","79","79"
"10290.725041697","71","71","71"
"10305.725596372","94","94","94"
"10320.725062698","70","70","70"
"10335.725796985","91","91","91"
"10350.726236608","89","89","89"
"10365.725564126","75","75","75"
"10380.725301107","91","91","91"
"10395.725120687","70","70","70"
"10410.72550679","81","81","81"
"10425.72590524","85","85","85"
"10440.725827401","67","67","67"
"10455.725031179","65","65","65"
"10470.730845987","86","86","86"
"10485.726207417","88","88","88"
"10500.725642409","82","82","82"
"10515.724857183","94","94","94"
"10530.725174775","77","77","77"
"10545.725862107","73","73","73"
"10560.72583798","92","92","92"
"10575.724893353","67","67","67"
"10590.724716566","96","96","96"
"10605.72563521","83","83","83"
"10620.725275219","70","70","70"
"10635.725367944","77","77","77"
"10650.725849332","76","76","76"
"10665.726279243","83","83","83"
"10680.726978693","66","66","66"
"10695.725570848","80","80","80"
"10710.725570352","74","74","74"
"10725.724816136","96","96","96"
"10740.728293437","61","61","61"
"10755.725635425","74","74","74"
"10770.725843793","55","55","55"
"10785.72546225","70","70","70"
"10800.726364445","80","80","80"
"10815.725467245","94","94","94"
"10830.724952709","99","99","99"
"10845.725008114","87","87","87"
"10860.726152355","92","92","92"
"10875.725891432","83","83","83"
"10890.725472521","64","64","64"
"10905.72538295","72","72","72"
"10920.725233742","79","79","79"
"10935.727390196","62","62","62"
"10950.725117433","63","63","63"
"10965.725310442","68","68","68"
"10980.725380882","90","90","90"
"10995.7262223","73","73","73"
"11010.725083078","88","88","88"
"11025.725436682","84","84","84"
"11040.725318239","71","71","71"
"11055.726338969","85","85","85"
"11070.725999778","95","95","95"
"11085.725441534","78","78","78"
"11100.725865554","82","82","82"
