"Relative Time (Process)","train50-dali-all-CPU-processing - system/gpu.0.gpu","train50-dali-all-CPU-processing - system/gpu.0.gpu__MIN","train50-dali-all-CPU-processing - system/gpu.0.gpu__MAX"
"7005.615344609","93","93","93"
"7020.616508361","89","89","89"
"7035.615634152","80","80","80"
"7050.615081137","89","89","89"
"7065.615125549","89","89","89"
"7080.616821162","91","91","91"
"7095.617247517","91","91","91"
"7110.615068807","88","88","88"
"7125.615108222","94","94","94"
"7140.615880771","92","92","92"
"7155.619113802","97","97","97"
"7170.615072214","88","88","88"
"7185.614974933","85","85","85"
"7200.614733039","80","80","80"
"7215.616305817","95","95","95"
"7230.615476294","79","79","79"
"7245.614865087","88","88","88"
"7260.615518097","86","86","86"
"7275.615404676","87","87","87"
"7290.616844857","66","66","66"
"7305.615233963","93","93","93"
"7320.615056186","73","73","73"
"7335.614753019","83","83","83"
"7350.615754509","97","97","97"
"7365.614989764","93","93","93"
"7380.615119933","79","79","79"
"7395.615526999","87","87","87"
"7410.616774592","88","88","88"
"7425.615642706","92","92","92"
"7440.615463431","79","79","79"
"7455.614914016","95","95","95"
"7470.616248926","93","93","93"
"7485.616498529","77","77","77"
"7500.615589868","96","96","96"
"7515.615620557","92","92","92"
"7530.615181327","94","94","94"
"7545.617892262","89","89","89"
"7560.614906147","90","90","90"
"7575.615065993","81","81","81"
"7590.615125023","89","89","89"
"7605.615673831","75","75","75"
"7620.614787829","90","90","90"
"7635.61496605","92","92","92"
"7650.615377432","92","92","92"
"7665.616198995","89","89","89"
"7680.61611555","98","98","98"
"7695.614881132","89","89","89"
"7710.615594841","80","80","80"
"7725.616106483","96","96","96"
"7740.615752969","90","90","90"
"7755.615642346","82","82","82"
"7770.615417195","87","87","87"
"7785.615131685","98","98","98"
"7800.61817701","89","89","89"
"7815.614977035","74","74","74"
"7830.61581291","96","96","96"
"7845.61550558","93","93","93"
"7860.616197722","87","87","87"
"7875.61573313","91","91","91"
"7890.615466179","93","93","93"
"7905.614917325","93","93","93"
"7920.616260694","91","91","91"
"7935.615384895","93","93","93"
"7950.615014188","82","82","82"
